% Model:              Simulação_oficial_V1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 29 2025, 15:01
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.6686649964805974E-14
0                                                 305                                               1.662821821981152E-14
0                                                 310                                               1.6604985340573838E-14
0                                                 315                                               1.655970850625355E-14
0                                                 320                                               1.6515215560032266E-14
0                                                 325                                               1.668074761194442E-14
0                                                 330                                               1.687360519691388E-14
0                                                 335                                               1.69482634353698E-14
0                                                 340                                               1.697142929518676E-14
0                                                 345                                               1.6963524487074688E-14
0                                                 350                                               1.6924647670336578E-14
0                                                 355                                               1.6897578587822446E-14
0                                                 360                                               1.6925280426674932E-14
0                                                 365                                               1.695410474376425E-14
0                                                 370                                               1.6979849633646327E-14
0                                                 375                                               1.7000797844374276E-14
0                                                 380                                               1.702240691664078E-14
0                                                 385                                               1.7012737517490578E-14
0                                                 390                                               1.6989889018194013E-14
0                                                 395                                               1.6967439399780292E-14
0                                                 400                                               1.6972717297108234E-14
0                                                 405                                               1.7003441540978654E-14
0                                                 410                                               1.7034257858610707E-14
0                                                 415                                               1.7069337066485427E-14
0                                                 420                                               1.7112551208333855E-14
0                                                 425                                               1.7155699740263846E-14
0                                                 430                                               1.7198769461641953E-14
0                                                 435                                               1.7342974957185334E-14
0                                                 440                                               1.7501496611290578E-14
0                                                 445                                               1.7663372798757998E-14
0                                                 450                                               1.782873051492649E-14
0                                                 455                                               1.8015690338991162E-14
0                                                 460                                               1.821065299654174E-14
0                                                 465                                               1.8409838692911698E-14
0                                                 470                                               1.861338587532172E-14
0                                                 475                                               1.903499971666222E-14
0                                                 480                                               1.9576222203720418E-14
0                                                 485                                               2.0163718633273107E-14
0                                                 490                                               2.0803315550405533E-14
0                                                 495                                               2.1501964225100036E-14
0                                                 500                                               2.241385269613468E-14
0                                                 505                                               2.3471519379677183E-14
0                                                 510                                               2.4660894630173632E-14
0                                                 515                                               2.5995727416847162E-14
0                                                 520                                               2.7487289827927175E-14
0                                                 525                                               2.7849959581544906E-14
0                                                 530                                               2.7852912114802718E-14
0                                                 535                                               2.7759750009275995E-14
0                                                 540                                               2.7588540360686006E-14
0                                                 545                                               2.7381161799722616E-14
0                                                 550                                               2.7156090384685393E-14
0                                                 555                                               2.6911376186064684E-14
0                                                 560                                               2.6844964210653063E-14
0                                                 565                                               2.7009064459833062E-14
0                                                 570                                               2.746424566989081E-14
0                                                 575                                               2.8295280125604107E-14
0                                                 580                                               2.960558848496974E-14
0                                                 585                                               3.1179439407784365E-14
0                                                 590                                               3.277973805490198E-14
0                                                 595                                               3.4218891286748726E-14
0                                                 600                                               3.512746021165255E-14
0                                                 605                                               3.537417119616234E-14
0                                                 610                                               3.525681976287644E-14
0                                                 615                                               3.5449617097233515E-14
0                                                 620                                               3.642273575349146E-14
0                                                 625                                               3.824740216989616E-14
0                                                 630                                               4.064735309631002E-14
0                                                 635                                               4.249781356960506E-14
0                                                 640                                               4.2159100593589437E-14
0                                                 645                                               3.911731063460959E-14
0                                                 650                                               3.465501206564351E-14
0                                                 655                                               3.0249211505782095E-14
0                                                 660                                               2.6580378957428143E-14
0                                                 665                                               2.3848878618778607E-14
0                                                 670                                               2.1799030328874338E-14
0                                                 675                                               2.026938140313256E-14
0                                                 680                                               1.9139233579223957E-14
0                                                 685                                               1.8316152949701203E-14
0                                                 690                                               1.7725418757924528E-14
0                                                 695                                               1.730559734667204E-14
0                                                 700                                               1.7007795794978567E-14
0                                                 705                                               1.6796810299716608E-14
0                                                 710                                               1.6653470225986382E-14
0                                                 715                                               1.6550582596160884E-14
0                                                 720                                               1.6479144970291327E-14
0                                                 725                                               1.6432975229599547E-14
0                                                 730                                               1.6407608423625795E-14
0                                                 735                                               1.6399775133764488E-14
0                                                 740                                               1.640708478729388E-14
0                                                 745                                               1.642777082631032E-14
0                                                 750                                               1.6460504168251072E-14
0                                                 755                                               1.6504267355553103E-14
0                                                 760                                               1.6557734442895298E-14
0                                                 765                                               1.6620297224705612E-14
0                                                 770                                               1.6691590167174835E-14
0                                                 775                                               1.677125599194226E-14
0                                                 780                                               1.6859015826215205E-14
0                                                 785                                               1.6954656057582685E-14
0                                                 790                                               1.7058018406053727E-14
0                                                 795                                               1.7168992316419394E-14
0                                                 800                                               1.728750905325505E-14
15                                                300                                               1.6695647358445006E-14
15                                                305                                               1.6625693716692656E-14
