% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 18 2025, 07:20
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               8.210044994171188E-15
0                                                 305                                               8.185636526840963E-15
0                                                 310                                               8.170628185786423E-15
0                                                 315                                               8.142788080245962E-15
0                                                 320                                               8.1122240528265E-15
0                                                 325                                               8.169093596925847E-15
0                                                 330                                               8.238830941859314E-15
0                                                 335                                               8.252593978755212E-15
0                                                 340                                               8.241221291810176E-15
0                                                 345                                               8.21632551710338E-15
0                                                 350                                               8.177421973775517E-15
0                                                 355                                               8.147231803047054E-15
0                                                 360                                               8.164195714560628E-15
0                                                 365                                               8.182300306154706E-15
0                                                 370                                               8.201752759089297E-15
0                                                 375                                               8.222588816010826E-15
0                                                 380                                               8.244362134219442E-15
0                                                 385                                               8.238749665838813E-15
0                                                 390                                               8.221175084398898E-15
0                                                 395                                               8.203633396781518E-15
0                                                 400                                               8.19839942793702E-15
0                                                 405                                               8.204839942223263E-15
0                                                 410                                               8.211705915224385E-15
0                                                 415                                               8.218515325980097E-15
0                                                 420                                               8.224818760460141E-15
0                                                 425                                               8.231491689425098E-15
0                                                 430                                               8.238514696506642E-15
0                                                 435                                               8.297215906571566E-15
0                                                 440                                               8.363042079322627E-15
0                                                 445                                               8.430321389700413E-15
0                                                 450                                               8.499031867896208E-15
0                                                 455                                               8.567813826109699E-15
0                                                 460                                               8.63739927820267E-15
0                                                 465                                               8.708020837751525E-15
0                                                 470                                               8.779647532917211E-15
0                                                 475                                               8.980798249747463E-15
0                                                 480                                               9.243369636863163E-15
0                                                 485                                               9.520000248941207E-15
0                                                 490                                               9.811856544501603E-15
0                                                 495                                               1.0120295985512646E-14
0                                                 500                                               1.062540602986002E-14
0                                                 505                                               1.1231518159050115E-14
0                                                 510                                               1.1916261371730814E-14
0                                                 515                                               1.269717769584124E-14
0                                                 520                                               1.3598309666105465E-14
0                                                 525                                               1.4195439916158816E-14
0                                                 530                                               1.474768629542779E-14
0                                                 535                                               1.5352765342512212E-14
0                                                 540                                               1.6025923936937662E-14
0                                                 545                                               1.678960646099559E-14
0                                                 550                                               1.758770753494087E-14
0                                                 555                                               1.825589780188192E-14
0                                                 560                                               1.8954708267113978E-14
0                                                 565                                               1.9653942784144593E-14
0                                                 570                                               2.032676696021189E-14
0                                                 575                                               2.0947271863178353E-14
0                                                 580                                               2.1458332029446576E-14
0                                                 585                                               2.1605595208437846E-14
0                                                 590                                               2.1498307450581952E-14
0                                                 595                                               2.1481371506337402E-14
0                                                 600                                               2.18158123655142E-14
0                                                 605                                               2.2642898916354062E-14
0                                                 610                                               2.3934371015127573E-14
0                                                 615                                               2.5482945083570415E-14
0                                                 620                                               2.6573659561254464E-14
0                                                 625                                               2.6812278995641946E-14
0                                                 630                                               2.6116743672633354E-14
0                                                 635                                               2.46701253977882E-14
0                                                 640                                               2.2841793093099716E-14
0                                                 645                                               2.0945347170698497E-14
0                                                 650                                               1.916025133225272E-14
0                                                 655                                               1.7562044182808724E-14
0                                                 660                                               1.6175439747396894E-14
0                                                 665                                               1.5038565318882065E-14
0                                                 670                                               1.4100467362359233E-14
0                                                 675                                               1.3364340609368749E-14
0                                                 680                                               1.2863270429981895E-14
0                                                 685                                               1.2675524373266257E-14
0                                                 690                                               1.291768482916898E-14
0                                                 695                                               1.3613366479606612E-14
0                                                 700                                               1.433955082474131E-14
0                                                 705                                               1.4169271658534651E-14
0                                                 710                                               1.288063482869295E-14
0                                                 715                                               1.133358140343285E-14
0                                                 720                                               1.002224068115132E-14
0                                                 725                                               9.036136273569935E-15
0                                                 730                                               8.308348152961206E-15
0                                                 735                                               7.753942578971392E-15
0                                                 740                                               7.311166330222398E-15
0                                                 745                                               6.942205187224428E-15
0                                                 750                                               6.624532464234723E-15
0                                                 755                                               6.3442762031142585E-15
0                                                 760                                               6.096853532536472E-15
0                                                 765                                               5.872403921248407E-15
0                                                 770                                               5.665923015356766E-15
0                                                 775                                               5.474638741417286E-15
0                                                 780                                               5.2964534943739344E-15
0                                                 785                                               5.1297143572584026E-15
0                                                 790                                               4.973091464507659E-15
0                                                 795                                               4.825503120584417E-15
0                                                 800                                               4.6860551485258615E-15
15                                                300                                               8.24830131143914E-15
15                                                305                                               8.223417505278078E-15
15                                                310                                               8.207918695691216E-15
15                                                315                                               8.179533869381872E-15
15                                                320                                               8.148402292010763E-15
15                                                325                                               8.204875657340722E-15
15                                                330                                               8.274307645033956E-15
15                                                335                                               8.28739219654494E-15
15                                                340                                               8.275187495395732E-15
15                                                345                                               8.249487835927695E-15
15                                                350                                               8.209787707777685E-15
15                                                355                                               8.179027701283318E-15
15                                                360                                               8.196611256517192E-15
15                                                365                                               8.215366178376497E-15
15                                                370                                               8.23560079167677E-15
15                                                375                                               8.257390663391809E-15
15                                                380                                               8.280148754758629E-15
15                                                385                                               8.274810404991128E-15
15                                                390                                               8.25719054386399E-15
15                                                395                                               8.23959660658315E-15
15                                                400                                               8.23432479020124E-15
15                                                405                                               8.24075572922608E-15
15                                                410                                               8.247625343396065E-15
15                                                415                                               8.254338537660383E-15
15                                                420                                               8.260340987529323E-15
15                                                425                                               8.266726304156317E-15
15                                                430                                               8.273474171860467E-15
15                                                435                                               8.332253991372423E-15
15                                                440                                               8.398192279244953E-15
15                                                445                                               8.465575610529408E-15
15                                                450                                               8.534379113975922E-15
15                                                455                                               8.60276085527399E-15
15                                                460                                               8.671788710967696E-15
15                                                465                                               8.741792585640986E-15
15                                                470                                               8.812737034240192E-15
15                                                475                                               9.015058183692444E-15
15                                                480                                               9.279500101423161E-15
15                                                485                                               9.557915876126105E-15
15                                                490                                               9.851411579742257E-15
15                                                495                                               1.0161265342839093E-14
15                                                500                                               1.0676033109147006E-14
15                                                505                                               1.1296917924654722E-14
15                                                510                                               1.2001238854599377E-14
15                                                515                                               1.2808331300523805E-14
15                                                520                                               1.374506508967913E-14
15                                                525                                               1.4394975807745837E-14
15                                                530                                               1.5019014660318447E-14
15                                                535                                               1.5716249711654913E-14
15                                                540                                               1.6496909534950634E-14
15                                                545                                               1.7367790146172013E-14
15                                                550                                               1.8239823287443193E-14
15                                                555                                               1.8918660685233617E-14
15                                                560                                               1.958254833264302E-14
15                                                565                                               2.020321343912092E-14
15                                                570                                               2.0764568060582955E-14
15                                                575                                               2.1281252902699776E-14
15                                                580                                               2.181716077209781E-14
15                                                585                                               2.2310081865306203E-14
15                                                590                                               2.2869687932183497E-14
15                                                595                                               2.3669365258688395E-14
15                                                600                                               2.4739371358281252E-14
15                                                605                                               2.5973085457417795E-14
15                                                610                                               2.6985966711160335E-14
15                                                615                                               2.7270523448366587E-14
15                                                620                                               2.6667777580577438E-14
15                                                625                                               2.557752497812838E-14
15                                                630                                               2.4251040829982643E-14
15                                                635                                               2.2754539065742833E-14
15                                                640                                               2.1109323895734572E-14
