% Model:              Simulação_oficial_V1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 27 2025, 19:47
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               2.247163289635409E-14
0                                                 305                                               2.251291066998133E-14
0                                                 310                                               2.258487675548435E-14
0                                                 315                                               2.26197895231656E-14
0                                                 320                                               2.2646371176031364E-14
0                                                 325                                               2.2921043135492335E-14
0                                                 330                                               2.3223035741011563E-14
0                                                 335                                               2.3373885770127885E-14
0                                                 340                                               2.3456220676689574E-14
0                                                 345                                               2.3496607890021174E-14
0                                                 350                                               2.349496169890152E-14
0                                                 355                                               2.350658191784306E-14
0                                                 360                                               2.359929345271184E-14
0                                                 365                                               2.369246583861202E-14
0                                                 370                                               2.3782730723990694E-14
0                                                 375                                               2.386895468593911E-14
0                                                 380                                               2.39558570688725E-14
0                                                 385                                               2.399230229205883E-14
0                                                 390                                               2.4006019520580523E-14
0                                                 395                                               2.4018697466588225E-14
0                                                 400                                               2.406428900918189E-14
0                                                 405                                               2.4140470348924588E-14
0                                                 410                                               2.421604320251986E-14
0                                                 415                                               2.4293943572832965E-14
0                                                 420                                               2.4376735711944055E-14
0                                                 425                                               2.4458700581829133E-14
0                                                 430                                               2.453986750543896E-14
0                                                 435                                               2.47512806561204E-14
0                                                 440                                               2.4979627159897646E-14
0                                                 445                                               2.5210575641094173E-14
0                                                 450                                               2.5444191250301946E-14
0                                                 455                                               2.5692460963122587E-14
0                                                 460                                               2.594580704571154E-14
0                                                 465                                               2.6201642057012753E-14
0                                                 470                                               2.6460030524129377E-14
0                                                 475                                               2.7009510931698154E-14
0                                                 480                                               2.7702301514083376E-14
0                                                 485                                               2.843405269802995E-14
0                                                 490                                               2.920886487917987E-14
0                                                 495                                               3.0031594026754403E-14
0                                                 500                                               3.119234436296322E-14
0                                                 505                                               3.254804274298919E-14
0                                                 510                                               3.406953095578655E-14
0                                                 515                                               3.5791881295511745E-14
0                                                 520                                               3.776168677074076E-14
0                                                 525                                               3.8804403824732946E-14
0                                                 530                                               3.9648951136432307E-14
0                                                 535                                               4.055310142410733E-14
0                                                 540                                               4.153500990727795E-14
0                                                 545                                               4.261477789017175E-14
0                                                 550                                               4.366401269094526E-14
0                                                 555                                               4.440771371942557E-14
0                                                 560                                               4.5167187484323885E-14
0                                                 565                                               4.5936038964292455E-14
0                                                 570                                               4.673014573493768E-14
0                                                 575                                               4.760301095323365E-14
0                                                 580                                               4.865930890159506E-14
0                                                 585                                               4.97416319887558E-14
0                                                 590                                               5.095199851557482E-14
0                                                 595                                               5.2541392665826603E-14
0                                                 600                                               5.455678355043433E-14
0                                                 605                                               5.690668450851668E-14
0                                                 610                                               5.926334267905278E-14
0                                                 615                                               6.116234872868909E-14
0                                                 620                                               6.20077581613395E-14
0                                                 625                                               6.195655694252125E-14
0                                                 630                                               6.13276289337388E-14
0                                                 635                                               6.070369183404413E-14
0                                                 640                                               6.08560332453028E-14
0                                                 645                                               6.210151236274773E-14
0                                                 650                                               6.398859791128719E-14
0                                                 655                                               6.488651935030774E-14
0                                                 660                                               6.294471605670272E-14
0                                                 665                                               5.864215177920946E-14
0                                                 670                                               5.462504251414496E-14
0                                                 675                                               5.1573394054400084E-14
0                                                 680                                               4.958816782949817E-14
0                                                 685                                               4.8599087494107335E-14
0                                                 690                                               4.849882008697417E-14
0                                                 695                                               4.917455756559978E-14
0                                                 700                                               5.052954992670153E-14
0                                                 705                                               5.2470488348346533E-14
0                                                 710                                               5.46922753518555E-14
0                                                 715                                               5.72680155476473E-14
0                                                 720                                               6.005991170469535E-14
0                                                 725                                               6.285148739861431E-14
0                                                 730                                               6.533815861810966E-14
0                                                 735                                               6.715123383661074E-14
0                                                 740                                               6.793451738408124E-14
0                                                 745                                               6.746536680288742E-14
0                                                 750                                               6.575364021545354E-14
0                                                 755                                               6.303697840296485E-14
0                                                 760                                               5.967885356557724E-14
0                                                 765                                               5.6060456386379164E-14
0                                                 770                                               5.24394326767368E-14
0                                                 775                                               4.897909287886978E-14
0                                                 780                                               4.5767988552509885E-14
0                                                 785                                               4.284281782652437E-14
0                                                 790                                               4.0208201759986844E-14
0                                                 795                                               3.785091103616261E-14
0                                                 800                                               3.574917451480337E-14
15                                                300                                               2.233720793549965E-14
15                                                305                                               2.2368102720064135E-14
15                                                310                                               2.2430886895038384E-14
15                                                315                                               2.2456788846584474E-14
15                                                320                                               2.2474746847219E-14
15                                                325                                               2.2744804888813973E-14
15                                                330                                               2.3043341275652793E-14
15                                                335                                               2.318890548042457E-14
15                                                340                                               2.3265249746403637E-14
15                                                345                                               2.3299291408668834E-14
15                                                350                                               2.329086917340932E-14
15                                                355                                               2.3296182612080996E-14
15                                                360                                               2.3384016190845594E-14
15                                                365                                               2.3472427227158927E-14
15                                                370                                               2.355793279872981E-14
15                                                375                                               2.3639327896662275E-14
15                                                380                                               2.37214548929975E-14
15                                                385                                               2.3752542327254907E-14
15                                                390                                               2.376072189252842E-14
15                                                395                                               2.376795596950115E-14
15                                                400                                               2.380888716472777E-14
15                                                405                                               2.38811583834657E-14
15                                                410                                               2.3952932500536382E-14
15                                                415                                               2.4027309890711297E-14
15                                                420                                               2.4107038971989513E-14
15                                                425                                               2.4186078256773882E-14
15                                                430                                               2.426445104383845E-14
15                                                435                                               2.4475883177975246E-14
15                                                440                                               2.4704833120481633E-14
15                                                445                                               2.4936677525764785E-14
15                                                450                                               2.5171479917663902E-14
15                                                455                                               2.5422194693562687E-14
15                                                460                                               2.567857536473781E-14
15                                                465                                               2.5937827029274317E-14
15                                                470                                               2.62000106337864E-14
15                                                475                                               2.675829573109161E-14
15                                                480                                               2.7462924851411095E-14
15                                                485                                               2.820792458644992E-14
15                                                490                                               2.8997427911764695E-14
15                                                495                                               2.983630658513166E-14
15                                                500                                               3.1012149917732873E-14
15                                                505                                               3.238382693979216E-14
15                                                510                                               3.392297747539094E-14
15                                                515                                               3.566547855600637E-14
15                                                520                                               3.7659964733610855E-14
15                                                525                                               3.8719071417777026E-14
15                                                530                                               3.9593054183032054E-14
15                                                535                                               4.0555154272287535E-14
15                                                540                                               4.164241194133759E-14
15                                                545                                               4.28995558015218E-14
15                                                550                                               4.4199907546934186E-14
15                                                555                                               4.5201685353781635E-14
15                                                560                                               4.6215395209345824E-14
15                                                565                                               4.7170119656594655E-14
15                                                570                                               4.8029524506043216E-14
15                                                575                                               4.884936547157118E-14
15                                                580                                               4.9808543910305235E-14
15                                                585                                               5.085398735326383E-14
15                                                590                                               5.2143195321256944E-14
15                                                595                                               5.3882844199408246E-14
