% Model:              Simulação_oficial_V1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 28 2025, 17:11
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.2505322841546587E-14
0                                                 305                                               1.2543368754013843E-14
0                                                 310                                               1.2586722114229153E-14
0                                                 315                                               1.2610133997904926E-14
0                                                 320                                               1.2626193280107856E-14
0                                                 325                                               1.2742369107151545E-14
0                                                 330                                               1.2869564197983014E-14
0                                                 335                                               1.2932748147763449E-14
0                                                 340                                               1.2965484846106119E-14
0                                                 345                                               1.2978726282896689E-14
0                                                 350                                               1.2972561737443479E-14
0                                                 355                                               1.2970984596584751E-14
0                                                 360                                               1.3003589245581603E-14
0                                                 365                                               1.3036424456958973E-14
0                                                 370                                               1.3068046201728113E-14
0                                                 375                                               1.3098021408018235E-14
0                                                 380                                               1.3128424711526846E-14
0                                                 385                                               1.3136725756666464E-14
0                                                 390                                               1.3134953589874984E-14
0                                                 395                                               1.3132661291826912E-14
0                                                 400                                               1.314458837298453E-14
0                                                 405                                               1.3169746769518868E-14
0                                                 410                                               1.319463520062618E-14
0                                                 415                                               1.3220407580695477E-14
0                                                 420                                               1.3248043405534605E-14
0                                                 425                                               1.3275327837833463E-14
0                                                 430                                               1.3302288445346146E-14
0                                                 435                                               1.3386714380840722E-14
0                                                 440                                               1.3479053889233246E-14
0                                                 445                                               1.3573023648592723E-14
0                                                 450                                               1.3668668002546148E-14
0                                                 455                                               1.3771226569684073E-14
0                                                 460                                               1.3876858651366169E-14
0                                                 465                                               1.398451483721682E-14
0                                                 470                                               1.4094273405161187E-14
0                                                 475                                               1.433852352482079E-14
0                                                 480                                               1.4650433698124846E-14
0                                                 485                                               1.4982657090188487E-14
0                                                 490                                               1.5337568662095937E-14
0                                                 495                                               1.571801553903974E-14
0                                                 500                                               1.6236816284561734E-14
0                                                 505                                               1.6831036736797602E-14
0                                                 510                                               1.748689651207971E-14
0                                                 515                                               1.8214549345615835E-14
0                                                 520                                               1.9025674206067834E-14
0                                                 525                                               1.9348976349931038E-14
0                                                 530                                               1.955126144117097E-14
0                                                 535                                               1.976267668684689E-14
0                                                 540                                               2.000076729375763E-14
0                                                 545                                               2.028588557315147E-14
0                                                 550                                               2.0592625347149577E-14
0                                                 555                                               2.0861949235289274E-14
0                                                 560                                               2.1246355273058697E-14
0                                                 565                                               2.1807594959020914E-14
0                                                 570                                               2.2620867232093286E-14
0                                                 575                                               2.37480299027858E-14
0                                                 580                                               2.5190133090572294E-14
0                                                 585                                               2.6539317655014765E-14
0                                                 590                                               2.7409575072142776E-14
0                                                 595                                               2.7642240459456203E-14
0                                                 600                                               2.7142012523372468E-14
0                                                 605                                               2.6139531857460072E-14
0                                                 610                                               2.5052007117409216E-14
0                                                 615                                               2.4288866467248542E-14
0                                                 620                                               2.411723281507774E-14
