% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 17 2025, 14:53
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.43589978277816E-14
0                                                 305                                               1.4416680799729737E-14
0                                                 310                                               1.4475709889614833E-14
0                                                 315                                               1.4503221990412227E-14
0                                                 320                                               1.4517786160321923E-14
0                                                 325                                               1.4670918636192318E-14
0                                                 330                                               1.4838747633928817E-14
0                                                 335                                               1.491686453648831E-14
0                                                 340                                               1.4952224564789622E-14
0                                                 345                                               1.4960182397849798E-14
0                                                 350                                               1.494090801916728E-14
0                                                 355                                               1.4927905392177218E-14
0                                                 360                                               1.49616209150204E-14
0                                                 365                                               1.4995693461717964E-14
0                                                 370                                               1.5027893254000625E-14
0                                                 375                                               1.5057428204239698E-14
0                                                 380                                               1.508746977287624E-14
0                                                 385                                               1.5086867155915E-14
0                                                 390                                               1.5072340064604143E-14
0                                                 395                                               1.5057123775791962E-14
0                                                 400                                               1.5062979916200222E-14
0                                                 405                                               1.508859829685594E-14
0                                                 410                                               1.5114091612402802E-14
0                                                 415                                               1.514162530962426E-14
0                                                 420                                               1.5173135615324914E-14
0                                                 425                                               1.5204455416038322E-14
0                                                 430                                               1.5235612132316673E-14
0                                                 435                                               1.535125714281433E-14
0                                                 440                                               1.5478789033754034E-14
0                                                 445                                               1.5608989564809753E-14
0                                                 450                                               1.5741908571282615E-14
0                                                 455                                               1.5886285653151402E-14
0                                                 460                                               1.6035108071641395E-14
0                                                 465                                               1.6186477706328632E-14
0                                                 470                                               1.6340429663479793E-14
0                                                 475                                               1.66892747882068E-14
0                                                 480                                               1.7139252377871132E-14
0                                                 485                                               1.7622269017683437E-14
0                                                 490                                               1.814190941377886E-14
0                                                 495                                               1.8702374995902612E-14
0                                                 500                                               1.9513727865757635E-14
0                                                 505                                               2.0483249726320398E-14
0                                                 510                                               2.1597840203283272E-14
0                                                 515                                               2.2893980834936103E-14
0                                                 520                                               2.4422473776957876E-14
0                                                 525                                               2.5220201861249588E-14
0                                                 530                                               2.5832761697137095E-14
0                                                 535                                               2.6455163825239704E-14
0                                                 540                                               2.7091574736753274E-14
0                                                 545                                               2.7759897542886293E-14
0                                                 550                                               2.8383492300863705E-14
0                                                 555                                               2.878768593780876E-14
0                                                 560                                               2.92589019407212E-14
0                                                 565                                               2.980180170717865E-14
0                                                 570                                               3.038494847013999E-14
0                                                 575                                               3.0911271441965617E-14
0                                                 580                                               3.1203764352074914E-14
0                                                 585                                               3.075201467470714E-14
0                                                 590                                               2.9567453786525295E-14
0                                                 595                                               2.7979655901680895E-14
0                                                 600                                               2.6216329095910207E-14
0                                                 605                                               2.4495911002606586E-14
0                                                 610                                               2.2939002325340255E-14
0                                                 615                                               2.1566871446072624E-14
0                                                 620                                               2.0476808483071602E-14
0                                                 625                                               1.9603745178689943E-14
0                                                 630                                               1.8887675559472578E-14
0                                                 635                                               1.832505062945795E-14
0                                                 640                                               1.7900626563921367E-14
0                                                 645                                               1.7574976893421823E-14
0                                                 650                                               1.729284631180768E-14
0                                                 655                                               1.7050411927907755E-14
0                                                 660                                               1.6917989544713312E-14
0                                                 665                                               1.6926517335646847E-14
0                                                 670                                               1.7060159037028688E-14
0                                                 675                                               1.730894351375672E-14
0                                                 680                                               1.7670921484797862E-14
0                                                 685                                               1.815085288860287E-14
0                                                 690                                               1.8758457055173292E-14
0                                                 695                                               1.950813169406738E-14
0                                                 700                                               2.041988380876837E-14
0                                                 705                                               2.1512357042488708E-14
0                                                 710                                               2.2739992997030713E-14
0                                                 715                                               2.4188489455334077E-14
0                                                 720                                               2.5893258318391842E-14
0                                                 725                                               2.7896513054750197E-14
0                                                 730                                               3.024740245864463E-14
0                                                 735                                               3.299807253420855E-14
0                                                 740                                               3.619131304002491E-14
0                                                 745                                               3.9830859408776137E-14
0                                                 750                                               4.382039973760217E-14
0                                                 755                                               4.786225147236115E-14
0                                                 760                                               5.12083622716588E-14
