% Model:              Simulação_oficial_V3.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 26 2026, 17:54
% Table:              Table 9 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.3596878460879675E-14
0                                                 305                                               1.3641429622027283E-14
0                                                 310                                               1.3689522437762224E-14
0                                                 315                                               1.3712580284459584E-14
0                                                 320                                               1.3725975495000386E-14
0                                                 325                                               1.3857733372112975E-14
0                                                 330                                               1.400284595665424E-14
0                                                 335                                               1.4071620527772704E-14
0                                                 340                                               1.410411444946667E-14
0                                                 345                                               1.4113633107654646E-14
0                                                 350                                               1.4100233687366929E-14
0                                                 355                                               1.4092787326246465E-14
0                                                 360                                               1.4127962952713173E-14
0                                                 365                                               1.4163677360358623E-14
0                                                 370                                               1.419835095179948E-14
0                                                 375                                               1.4231515911850336E-14
0                                                 380                                               1.4265432903353546E-14
0                                                 385                                               1.4271680668935026E-14
0                                                 390                                               1.4265338363025993E-14
0                                                 395                                               1.4258434868782276E-14
0                                                 400                                               1.4268881158070085E-14
0                                                 405                                               1.4295552573714333E-14
0                                                 410                                               1.432205845965808E-14
0                                                 415                                               1.4349658167918225E-14
0                                                 420                                               1.437942665141441E-14
0                                                 425                                               1.4408933889190338E-14
0                                                 430                                               1.4438203651836865E-14
0                                                 435                                               1.4537991286841184E-14
0                                                 440                                               1.4647618589185757E-14
0                                                 445                                               1.475937893447863E-14
0                                                 450                                               1.4873312312293546E-14
0                                                 455                                               1.4994924400757355E-14
0                                                 460                                               1.5119967143672437E-14
0                                                 465                                               1.5247290826830835E-14
0                                                 470                                               1.5376949170675844E-14
0                                                 475                                               1.567396490970467E-14
0                                                 480                                               1.6055814374166045E-14
0                                                 485                                               1.6463227065548248E-14
0                                                 490                                               1.6898638156189548E-14
0                                                 495                                               1.7364913226484623E-14
0                                                 500                                               1.8033702125956385E-14
0                                                 505                                               1.8819742654139484E-14
0                                                 510                                               1.9706146516136877E-14
0                                                 515                                               2.071435802101662E-14
0                                                 520                                               2.187247337160203E-14
0                                                 525                                               2.2485100751104974E-14
