% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 3 2025, 16:01
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.4865527267450717E-14
0                                                 305                                               1.490680812734226E-14
0                                                 310                                               1.4961022984468842E-14
0                                                 315                                               1.4986565435262273E-14
0                                                 320                                               1.5003276187778263E-14
0                                                 325                                               1.5179029269407264E-14
0                                                 330                                               1.5370846008153872E-14
0                                                 335                                               1.5466765747648938E-14
0                                                 340                                               1.5518238035524835E-14
0                                                 345                                               1.5540436498313983E-14
0                                                 350                                               1.5533898123476813E-14
0                                                 355                                               1.5532474783569514E-14
0                                                 360                                               1.556634297225307E-14
0                                                 365                                               1.559995832792655E-14
0                                                 370                                               1.5629470662612366E-14
0                                                 375                                               1.565349052324342E-14
0                                                 380                                               1.5677432319642723E-14
0                                                 385                                               1.5678596775049632E-14
0                                                 390                                               1.5669585520784544E-14
0                                                 395                                               1.5660105159867894E-14
0                                                 400                                               1.567269962726021E-14
0                                                 405                                               1.570558705959365E-14
0                                                 410                                               1.5738004341320207E-14
0                                                 415                                               1.5773841310845E-14
0                                                 420                                               1.581667236514718E-14
0                                                 425                                               1.5859004479877456E-14
0                                                 430                                               1.5900873303722424E-14
0                                                 435                                               1.6025252765199415E-14
0                                                 440                                               1.6161177334304585E-14
0                                                 445                                               1.629967411391698E-14
0                                                 450                                               1.644084597073729E-14
0                                                 455                                               1.6601559759202225E-14
0                                                 460                                               1.676941783152093E-14
0                                                 465                                               1.6940934262541165E-14
0                                                 470                                               1.711624842853503E-14
0                                                 475                                               1.7461996409366006E-14
0                                                 480                                               1.7898756318654993E-14
0                                                 485                                               1.8368340794176812E-14
0                                                 490                                               1.8874511286445443E-14
0                                                 495                                               1.9421709596653263E-14
0                                                 500                                               2.0079614382736134E-14
0                                                 505                                               2.0816815876706943E-14
0                                                 510                                               2.16304168787176E-14
0                                                 515                                               2.2532715234176985E-14
0                                                 520                                               2.3539070040757556E-14
