% Model:              Simulação_oficial_V1.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 30 2025, 15:49
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               2.3483397199015813E-14
0                                                 305                                               2.3877747773414504E-14
0                                                 310                                               2.4229069082567536E-14
0                                                 315                                               2.450874176466441E-14
0                                                 320                                               2.4743430265340296E-14
0                                                 325                                               2.5121337180191532E-14
0                                                 330                                               2.5499257476990953E-14
0                                                 335                                               2.575740289413173E-14
0                                                 340                                               2.594993618769738E-14
0                                                 345                                               2.6094410205787665E-14
0                                                 350                                               2.6191966299143685E-14
0                                                 355                                               2.6285201592463965E-14
0                                                 360                                               2.6425653416267786E-14
0                                                 365                                               2.6562782005164496E-14
0                                                 370                                               2.6694214861770333E-14
0                                                 375                                               2.6819878352821725E-14
0                                                 380                                               2.6944644823620695E-14
0                                                 385                                               2.7025222355519158E-14
0                                                 390                                               2.7082811842951695E-14
0                                                 395                                               2.7135841736542472E-14
0                                                 400                                               2.7213826149124647E-14
0                                                 405                                               2.7315672746798845E-14
0                                                 410                                               2.741504941947023E-14
0                                                 415                                               2.7513983232869947E-14
0                                                 420                                               2.761391041863838E-14
0                                                 425                                               2.7711376620514972E-14
0                                                 430                                               2.7806587415093742E-14
0                                                 435                                               2.801863289877871E-14
0                                                 440                                               2.8245870942578703E-14
0                                                 445                                               2.8475381971897317E-14
0                                                 450                                               2.8707241904339056E-14
0                                                 455                                               2.8947112351324153E-14
0                                                 460                                               2.9189836212237376E-14
0                                                 465                                               2.9434151571720514E-14
0                                                 470                                               2.9680101921888344E-14
0                                                 475                                               3.0211325769356426E-14
0                                                 480                                               3.0881420123100343E-14
0                                                 485                                               3.1586796280279715E-14
0                                                 490                                               3.233043339041546E-14
0                                                 495                                               3.311585707487247E-14
0                                                 500                                               3.428510088216148E-14
0                                                 505                                               3.566686073147553E-14
0                                                 510                                               3.7225666031998483E-14
0                                                 515                                               3.9004751254965784E-14
0                                                 520                                               4.106686590112723E-14
0                                                 525                                               4.2369951938467085E-14
0                                                 530                                               4.353124852768954E-14
0                                                 535                                               4.475912359955617E-14
0                                                 540                                               4.6035908119791163E-14
0                                                 545                                               4.734539859404398E-14
0                                                 550                                               4.8554479931081117E-14
0                                                 555                                               4.9475481753516794E-14
0                                                 560                                               5.051347467589588E-14
0                                                 565                                               5.173657218796678E-14
0                                                 570                                               5.320615990420968E-14
0                                                 575                                               5.4976152686841685E-14
0                                                 580                                               5.710979790633594E-14
0                                                 585                                               5.938507791447288E-14
0                                                 590                                               6.185863648455122E-14
0                                                 595                                               6.474380649879284E-14
0                                                 600                                               6.801995219565317E-14
0                                                 605                                               7.163563419838336E-14
0                                                 610                                               7.549904463826746E-14
0                                                 615                                               7.945487018720736E-14
0                                                 620                                               8.281885252137303E-14
0                                                 625                                               8.555329388676385E-14
0                                                 630                                               8.767043303401112E-14
0                                                 635                                               8.89355681000028E-14
0                                                 640                                               8.917538543154061E-14
0                                                 645                                               8.832818722054606E-14
0                                                 650                                               8.646914854579744E-14
0                                                 655                                               8.380159983816827E-14
0                                                 660                                               8.057719876350604E-14
0                                                 665                                               7.688225012282942E-14
0                                                 670                                               7.34376872042236E-14
0                                                 675                                               7.034268044184037E-14
0                                                 680                                               6.766000088543235E-14
0                                                 685                                               6.545275963469648E-14
0                                                 690                                               6.380109006624745E-14
0                                                 695                                               6.281534297295776E-14
0                                                 700                                               6.265310680636256E-14
0                                                 705                                               6.351136554715707E-14
0                                                 710                                               6.536573482505992E-14
0                                                 715                                               6.845557455426467E-14
0                                                 720                                               7.26198819951957E-14
0                                                 725                                               7.69785217145026E-14
0                                                 730                                               7.961858831510425E-14
0                                                 735                                               7.855292242568789E-14
0                                                 740                                               7.372136586095237E-14
0                                                 745                                               6.697527293409916E-14
0                                                 750                                               6.013159435492773E-14
0                                                 755                                               5.4064000463839084E-14
0                                                 760                                               4.903017579897012E-14
0                                                 765                                               4.48988347544993E-14
0                                                 770                                               4.151389376301938E-14
0                                                 775                                               3.8752656482921935E-14
0                                                 780                                               3.652629385793891E-14
0                                                 785                                               3.476939047690571E-14
0                                                 790                                               3.341491014093625E-14
0                                                 795                                               3.238087709352042E-14
0                                                 800                                               3.1585290265682594E-14
15                                                300                                               2.311962637041799E-14
15                                                305                                               2.3549491125027434E-14
15                                                310                                               2.3931554863137372E-14
15                                                315                                               2.423965295830835E-14
15                                                320                                               2.4499577609126253E-14
15                                                325                                               2.4890805323327944E-14
15                                                330                                               2.527821261250671E-14
15                                                335                                               2.5550320601272573E-14
15                                                340                                               2.575771695064722E-14
15                                                345                                               2.5916493467315226E-14
15                                                350                                               2.6028002576048293E-14
15                                                355                                               2.6132617110313672E-14
15                                                360                                               2.6277301566430907E-14
15                                                365                                               2.6418033282488935E-14
15                                                370                                               2.655233564948548E-14
15                                                375                                               2.66801702044469E-14
15                                                380                                               2.680675127199406E-14
15                                                385                                               2.6891952334249032E-14
15                                                390                                               2.6955095282528705E-14
15                                                395                                               2.7013296128710728E-14
15                                                400                                               2.7095256531509353E-14
15                                                405                                               2.7199995069552166E-14
15                                                410                                               2.730200428322851E-14
15                                                415                                               2.7403490050379742E-14
15                                                420                                               2.7506030243199673E-14
15                                                425                                               2.7605889507970357E-14
15                                                430                                               2.770329487335125E-14
15                                                435                                               2.7913803092651926E-14
15                                                440                                               2.8138920344325945E-14
15                                                445                                               2.836612855939511E-14
15                                                450                                               2.85955098964775E-14
15                                                455                                               2.883320237503633E-14
15                                                460                                               2.907372628727646E-14
15                                                465                                               2.9315735038559255E-14
15                                                470                                               2.955928736300301E-14
15                                                475                                               3.007761650736637E-14
15                                                480                                               3.072889137558369E-14
15                                                485                                               3.141283833037902E-14
15                                                490                                               3.2131856708340634E-14
15                                                495                                               3.288877949462841E-14
15                                                500                                               3.3994966993593273E-14
15                                                505                                               3.528380496387849E-14
15                                                510                                               3.671468797146532E-14
15                                                515                                               3.8316018422965267E-14
15                                                520                                               4.012905064352527E-14
15                                                525                                               4.1264195780487205E-14
15                                                530                                               4.2296518109372405E-14
15                                                535                                               4.341780072116741E-14
15                                                540                                               4.462779280997576E-14
15                                                545                                               4.593057315733683E-14
15                                                550                                               4.72231475790562E-14
15                                                555                                               4.8321155158365067E-14
15                                                560                                               4.9567359903146674E-14
15                                                565                                               5.1000287180543524E-14
15                                                570                                               5.2650710276297724E-14
15                                                575                                               5.454844487084473E-14
15                                                580                                               5.673204925630391E-14
15                                                585                                               5.894889682468493E-14
15                                                590                                               6.124348102847766E-14
15                                                595                                               6.383508141345296E-14
15                                                600                                               6.672759581953271E-14
15                                                605                                               6.989802949014844E-14
15                                                610                                               7.328985489731005E-14
15                                                615                                               7.680327315896347E-14
15                                                620                                               7.988687649492066E-14
15                                                625                                               8.254472959733924E-14
15                                                630                                               8.483083012059436E-14
15                                                635                                               8.656287599647966E-14
15                                                640                                               8.757134352205213E-14
15                                                645                                               8.773218035785078E-14
15                                                650                                               8.699559408260014E-14
15                                                655                                               8.539931397318918E-14
15                                                660                                               8.300304328237079E-14
15                                                665                                               7.96588975661586E-14
15                                                670                                               7.61505450647834E-14
15                                                675                                               7.260132614668491E-14
15                                                680                                               6.910529778837693E-14
15                                                685                                               6.572880718397824E-14
15                                                690                                               6.251480022565007E-14
15                                                695                                               5.948797251185097E-14
15                                                700                                               5.665966697209163E-14
15                                                705                                               5.403835013691672E-14
15                                                710                                               5.166896535756276E-14
15                                                715                                               4.948971230720463E-14
15                                                720                                               4.749312653264465E-14
15                                                725                                               4.5655793067540426E-14
15                                                730                                               4.3924521657485295E-14
15                                                735                                               4.229154553432078E-14
15                                                740                                               4.079464880626706E-14
15                                                745                                               3.943632178277106E-14
15                                                750                                               3.820026139531469E-14
15                                                755                                               3.707227714937296E-14
15                                                760                                               3.60561772375837E-14
15                                                765                                               3.513075048046733E-14
15                                                770                                               3.428581606651554E-14
15                                                775                                               3.351600916774671E-14
15                                                780                                               3.2816909719403754E-14
15                                                785                                               3.218485216547246E-14
15                                                790                                               3.161677897056263E-14
15                                                795                                               3.1110186233607637E-14
15                                                800                                               3.066304555722923E-14
30                                                300                                               2.3132724661266967E-14
30                                                305                                               2.3564517212221914E-14
30                                                310                                               2.394828197957039E-14
30                                                315                                               2.4258419050587513E-14
30                                                320                                               2.4520440527248615E-14
30                                                325                                               2.4911803361640876E-14
30                                                330                                               2.529903012641093E-14
30                                                335                                               2.557226350401941E-14
30                                                340                                               2.578130483790041E-14
30                                                345                                               2.594192549332611E-14
30                                                350                                               2.6055475677469674E-14
30                                                355                                               2.6161819383588058E-14
30                                                360                                               2.630709907769696E-14
30                                                365                                               2.6448402298986097E-14
30                                                370                                               2.6583247220630658E-14
30                                                375                                               2.671160423311152E-14
30                                                380                                               2.6838702091743942E-14
30                                                385                                               2.692494721675994E-14
30                                                390                                               2.698932148204038E-14
30                                                395                                               2.7048707736135097E-14
30                                                400                                               2.7131564416593335E-14
30                                                405                                               2.723693215829297E-14
30                                                410                                               2.733953268940069E-14
30                                                415                                               2.7441559674223614E-14
30                                                420                                               2.754457218354138E-14
30                                                425                                               2.764486391428357E-14
30                                                430                                               2.7742665241851353E-14
30                                                435                                               2.795261772139338E-14
30                                                440                                               2.8177022549735508E-14
30                                                445                                               2.8403463183766636E-14
30                                                450                                               2.863202249250571E-14
30                                                455                                               2.8868747241525E-14
30                                                460                                               2.910823402949456E-14
30                                                465                                               2.934915880716776E-14
30                                                470                                               2.9591582393204994E-14
30                                                475                                               3.0106549985459785E-14
30                                                480                                               3.075330635919873E-14
30                                                485                                               3.1432480436266675E-14
30                                                490                                               3.214661602875805E-14
30                                                495                                               3.289874699883481E-14
30                                                500                                               3.3998184694811885E-14
30                                                505                                               3.5279501488309883E-14
30                                                510                                               3.6701835037322545E-14
30                                                515                                               3.829184699366776E-14
30                                                520                                               4.008744624539779E-14
30                                                525                                               4.119786033591685E-14
30                                                530                                               4.2204563232353355E-14
30                                                535                                               4.3301865870218933E-14
30                                                540                                               4.448593902922003E-14
30                                                545                                               4.574581604583296E-14
30                                                550                                               4.695647442863667E-14
30                                                555                                               4.793404889593848E-14
30                                                560                                               4.902436281199995E-14
30                                                565                                               5.0295008861229143E-14
