% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 17 2025, 19:03
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.4422498961659998E-14
0                                                 305                                               1.440186286496316E-14
0                                                 310                                               1.4398935248080558E-14
0                                                 315                                               1.4370293085835466E-14
0                                                 320                                               1.433591053231751E-14
0                                                 325                                               1.4471629117861402E-14
0                                                 330                                               1.4629954339499754E-14
0                                                 335                                               1.4683744928433603E-14
0                                                 340                                               1.4690364359378512E-14
0                                                 345                                               1.466941765550941E-14
0                                                 350                                               1.462059075383916E-14
0                                                 355                                               1.458395693557987E-14
0                                                 360                                               1.4613803098508858E-14
0                                                 365                                               1.4644877656348395E-14
0                                                 370                                               1.4675417704128714E-14
0                                                 375                                               1.4704656685536883E-14
0                                                 380                                               1.4734822238588823E-14
0                                                 385                                               1.4725446483471436E-14
0                                                 390                                               1.469878895203776E-14
0                                                 395                                               1.4672034143714215E-14
0                                                 400                                               1.4669450175636738E-14
0                                                 405                                               1.4689521569016314E-14
0                                                 410                                               1.4709949924295702E-14
0                                                 415                                               1.4732393897835882E-14
0                                                 420                                               1.4758400149265493E-14
0                                                 425                                               1.4784689740852556E-14
0                                                 430                                               1.4811247648816428E-14
0                                                 435                                               1.4933571370567865E-14
0                                                 440                                               1.506932265237034E-14
0                                                 445                                               1.520804577572502E-14
0                                                 450                                               1.534976683316372E-14
0                                                 455                                               1.5501775066475156E-14
0                                                 460                                               1.5658032990223306E-14
0                                                 465                                               1.581690169891098E-14
0                                                 470                                               1.5978373852774288E-14
0                                                 475                                               1.6363087254339306E-14
0                                                 480                                               1.6862134224811377E-14
0                                                 485                                               1.7396952918991227E-14
0                                                 490                                               1.7971374495356134E-14
0                                                 495                                               1.8589877571286532E-14
0                                                 500                                               1.952218393702127E-14
0                                                 505                                               2.0649383245044434E-14
0                                                 510                                               2.1952695248076653E-14
0                                                 515                                               2.3474914246181E-14
0                                                 520                                               2.527365534987373E-14
0                                                 525                                               2.6282220866852217E-14
0                                                 530                                               2.7116259404649764E-14
0                                                 535                                               2.8017486432190307E-14
0                                                 540                                               2.9027664426503834E-14
0                                                 545                                               3.021393310847624E-14
0                                                 550                                               3.1501950755840324E-14
0                                                 555                                               3.2585897957782906E-14
0                                                 560                                               3.379174398131235E-14
0                                                 565                                               3.498898478740784E-14
0                                                 570                                               3.593781118210842E-14
0                                                 575                                               3.6340730926862093E-14
0                                                 580                                               3.5985992279919096E-14
0                                                 585                                               3.4599297748881775E-14
0                                                 590                                               3.266963383047636E-14
0                                                 595                                               3.073017595151572E-14
0                                                 600                                               2.90310942989259E-14
0                                                 605                                               2.779578364055501E-14
0                                                 610                                               2.722146309141259E-14
0                                                 615                                               2.7476005441522587E-14
0                                                 620                                               2.846316461209792E-14
0                                                 625                                               2.995739498197868E-14
0                                                 630                                               3.170826082237644E-14
0                                                 635                                               3.305088601803334E-14
0                                                 640                                               3.307530466210417E-14
0                                                 645                                               3.1362815744282486E-14
0                                                 650                                               2.851796471650856E-14
0                                                 655                                               2.547732779254047E-14
0                                                 660                                               2.279265021530197E-14
0                                                 665                                               2.068122152273895E-14
0                                                 670                                               1.9019073616844916E-14
0                                                 675                                               1.7692678169174196E-14
0                                                 680                                               1.6612461795784207E-14
0                                                 685                                               1.5714065063906566E-14
0                                                 690                                               1.4953223783445627E-14
0                                                 695                                               1.4299440433182212E-14
0                                                 700                                               1.3731126773295892E-14
0                                                 705                                               1.3234628445283734E-14
0                                                 710                                               1.2812783316241818E-14
0                                                 715                                               1.2436176856215062E-14
0                                                 720                                               1.2098240358018967E-14
0                                                 725                                               1.1793699731719869E-14
0                                                 730                                               1.1518320634606598E-14
0                                                 735                                               1.1268659191538011E-14
0                                                 740                                               1.1041894677052605E-14
0                                                 745                                               1.0835701850290899E-14
0                                                 750                                               1.0648149171308354E-14
0                                                 755                                               1.0477608203725654E-14
0                                                 760                                               1.0325358563759785E-14
0                                                 765                                               1.0187643259705533E-14
0                                                 770                                               1.0062715237880591E-14
0                                                 775                                               9.949637952636274E-15
0                                                 780                                               9.847607963529653E-15
0                                                 785                                               9.755944076585615E-15
0                                                 790                                               9.674042832056632E-15
0                                                 795                                               9.601350510337825E-15
0                                                 800                                               9.5373873977421E-15
15                                                300                                               1.4813348788464363E-14
15                                                305                                               1.478540637912305E-14
15                                                310                                               1.4778998280284323E-14
15                                                315                                               1.4747460175136808E-14
15                                                320                                               1.4711158911191602E-14
15                                                325                                               1.4850865502075834E-14
15                                                330                                               1.5013905155705856E-14
15                                                335                                               1.5067071919422992E-14
15                                                340                                               1.50709894439902E-14
15                                                345                                               1.5047148346632874E-14
15                                                350                                               1.4995107859389456E-14
15                                                355                                               1.4957298107148415E-14
15                                                360                                               1.4996665308625825E-14
15                                                365                                               1.5037390514553494E-14
15                                                370                                               1.5078561469277936E-14
15                                                375                                               1.5119767783726617E-14
15                                                380                                               1.5162078021150648E-14
15                                                385                                               1.5158767650133363E-14
15                                                390                                               1.5135449964575855E-14
15                                                395                                               1.511195084804982E-14
15                                                400                                               1.5112608832423592E-14
15                                                405                                               1.5135972551137048E-14
15                                                410                                               1.5159698855111933E-14
15                                                415                                               1.518441816314581E-14
15                                                420                                               1.5210698563655773E-14
15                                                425                                               1.5237250908738736E-14
15                                                430                                               1.5264059524989764E-14
15                                                435                                               1.5389065598649264E-14
15                                                440                                               1.5527588171215425E-14
15                                                445                                               1.5668874242808526E-14
15                                                450                                               1.581293227700355E-14
15                                                455                                               1.5962854105944016E-14
15                                                460                                               1.611568300251835E-14
15                                                465                                               1.6270662917030908E-14
