% Model:              Simulação_oficial_V3.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 27 2026, 15:04
% Table:              Table 9 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.1214393559368069E-14
0                                                 305                                               1.1186836873435357E-14
0                                                 310                                               1.1176382100426446E-14
0                                                 315                                               1.1147707601757583E-14
0                                                 320                                               1.1116169221649725E-14
0                                                 325                                               1.1219058360330829E-14
0                                                 330                                               1.1339575173319487E-14
0                                                 335                                               1.1381702175210441E-14
0                                                 340                                               1.1388553978510663E-14
0                                                 345                                               1.1373608168679335E-14
0                                                 350                                               1.1336917439002553E-14
0                                                 355                                               1.1307694161001441E-14
0                                                 360                                               1.1317278312559297E-14
0                                                 365                                               1.1327777289563454E-14
0                                                 370                                               1.1336562825104658E-14
0                                                 375                                               1.1342549382124416E-14
0                                                 380                                               1.1349153580228002E-14
0                                                 385                                               1.1333281015482413E-14
0                                                 390                                               1.1307851207973273E-14
0                                                 395                                               1.1282681714993007E-14
0                                                 400                                               1.1276456987678527E-14
0                                                 405                                               1.1287751249775269E-14
0                                                 410                                               1.1299297340229895E-14
0                                                 415                                               1.1313696284477937E-14
0                                                 420                                               1.1333373197763539E-14
0                                                 425                                               1.135323002935607E-14
0                                                 430                                               1.1373261024212334E-14
0                                                 435                                               1.1464109525279987E-14
0                                                 440                                               1.1565380111536578E-14
0                                                 445                                               1.1669406989059776E-14
0                                                 450                                               1.1776253152112905E-14
0                                                 455                                               1.1897649226337152E-14
0                                                 460                                               1.2024880507938437E-14
0                                                 465                                               1.215549215849439E-14
0                                                 470                                               1.2289559295267473E-14
0                                                 475                                               1.2579151029958872E-14
0                                                 480                                               1.2952715070348492E-14
0                                                 485                                               1.33576057057037E-14
0                                                 490                                               1.3797677329491643E-14
0                                                 495                                               1.427750478197486E-14
0                                                 500                                               1.4906922146496508E-14
0                                                 505                                               1.564000398627852E-14
0                                                 510                                               1.6472992332625065E-14
0                                                 515                                               1.7425708370184858E-14
0                                                 520                                               1.852019595742469E-14
0                                                 525                                               1.8835814368917572E-14
0                                                 530                                               1.8894821416273186E-14
0                                                 535                                               1.888130847932354E-14
0                                                 540                                               1.8801016725452186E-14
0                                                 545                                               1.8663983703277987E-14
0                                                 550                                               1.8435724989071182E-14
0                                                 555                                               1.8063760432825546E-14
0                                                 560                                               1.7671106132473445E-14
0                                                 565                                               1.7260963385488226E-14
0                                                 570                                               1.6844190956434895E-14
0                                                 575                                               1.6436041982879547E-14
0                                                 580                                               1.604395666414457E-14
0                                                 585                                               1.5627242335363214E-14
0                                                 590                                               1.5232241505366566E-14
0                                                 595                                               1.492243844928943E-14
0                                                 600                                               1.4732285020347733E-14
0                                                 605                                               1.4696358273660937E-14
0                                                 610                                               1.4846612243338184E-14
0                                                 615                                               1.521318450788001E-14
0                                                 620                                               1.575792609484444E-14
0                                                 625                                               1.6479237490255477E-14
0                                                 630                                               1.7433737419261822E-14
0                                                 635                                               1.8665718978940978E-14
0                                                 640                                               2.023893655423529E-14
0                                                 645                                               2.2246135746430625E-14
0                                                 650                                               2.4824063530964165E-14
0                                                 655                                               2.8176800738356182E-14
0                                                 660                                               3.253123980052325E-14
0                                                 665                                               3.7318920670686144E-14
0                                                 670                                               4.3140575606965784E-14
0                                                 675                                               4.9687589454875745E-14
0                                                 680                                               5.566287344022046E-14
0                                                 685                                               5.858121822647491E-14
0                                                 690                                               5.665923157546343E-14
0                                                 695                                               5.1082092822492214E-14
0                                                 700                                               4.443539665582771E-14
0                                                 705                                               3.8336509456064E-14
0                                                 710                                               3.3353929414813865E-14
0                                                 715                                               2.934011253666597E-14
0                                                 720                                               2.6104925280922015E-14
0                                                 725                                               2.3476032815681226E-14
0                                                 730                                               2.1317789570936472E-14
0                                                 735                                               1.952838494397124E-14
0                                                 740                                               1.8032390654181903E-14
0                                                 745                                               1.6773554498791066E-14
0                                                 750                                               1.570925009415507E-14
0                                                 755                                               1.4806639176041564E-14
0                                                 760                                               1.4052087990602897E-14
0                                                 765                                               1.3412021684323816E-14
0                                                 770                                               1.2866451847347551E-14
0                                                 775                                               1.2401363880147E-14
0                                                 780                                               1.2005685222824117E-14
0                                                 785                                               1.1673100698158309E-14
0                                                 790                                               1.1399712724567855E-14
0                                                 795                                               1.1180561335052518E-14
0                                                 800                                               1.1008800506929949E-14
15                                                300                                               1.1463938362489508E-14
15                                                305                                               1.1450134139559848E-14
15                                                310                                               1.1448976087565776E-14
15                                                315                                               1.1428675903480658E-14
15                                                320                                               1.1404155095726834E-14
15                                                325                                               1.1505003578377739E-14
15                                                330                                               1.1622251754772143E-14
15                                                335                                               1.166463242268184E-14
15                                                340                                               1.1672971164378504E-14
15                                                345                                               1.1660363787025829E-14
15                                                350                                               1.1626818841923767E-14
15                                                355                                               1.1600561602278756E-14
15                                                360                                               1.1614104450243985E-14
15                                                365                                               1.162857340783965E-14
15                                                370                                               1.1641802251558039E-14
15                                                375                                               1.1652925062567168E-14
15                                                380                                               1.1664766959506234E-14
15                                                385                                               1.1653124616290655E-14
15                                                390                                               1.1631351634002722E-14
15                                                395                                               1.1609718571325383E-14
15                                                400                                               1.1605938628219359E-14
15                                                405                                               1.1618719785078786E-14
15                                                410                                               1.1631721454509994E-14
15                                                415                                               1.1646993208771625E-14
15                                                420                                               1.1666431441273948E-14
15                                                425                                               1.1686014148072453E-14
15                                                430                                               1.1705737838598277E-14
15                                                435                                               1.1793594551774201E-14
15                                                440                                               1.1891394659267699E-14
15                                                445                                               1.1991748733325833E-14
15                                                450                                               1.2094709066338712E-14
15                                                455                                               1.2209680430805665E-14
15                                                460                                               1.2329679015306717E-14
15                                                465                                               1.2452745956408384E-14
15                                                470                                               1.2578951899945696E-14
15                                                475                                               1.2858750524474606E-14
15                                                480                                               1.3220058884902349E-14
15                                                485                                               1.3610297258639529E-14
15                                                490                                               1.4032898842141132E-14
