% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Oct 31 2025, 16:25
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               1.751146232701132E-14
0                                                 305                                               1.7516497594841333E-14
0                                                 310                                               1.7545560964319846E-14
0                                                 315                                               1.755114789085026E-14
0                                                 320                                               1.7552539420506845E-14
0                                                 325                                               1.772453671770374E-14
0                                                 330                                               1.791677386443577E-14
0                                                 335                                               1.8005501798896206E-14
0                                                 340                                               1.804743679454332E-14
0                                                 345                                               1.806108861722745E-14
0                                                 350                                               1.804648839666653E-14
0                                                 355                                               1.8041732577347104E-14
0                                                 360                                               1.809347329509157E-14
0                                                 365                                               1.814575269189866E-14
0                                                 370                                               1.8196312544395857E-14
0                                                 375                                               1.8244393990034586E-14
0                                                 380                                               1.8293111772104242E-14
0                                                 385                                               1.8307138795731957E-14
0                                                 390                                               1.8305747702826232E-14
0                                                 395                                               1.8303928397768777E-14
0                                                 400                                               1.8324586693429785E-14
0                                                 405                                               1.8366045884950106E-14
0                                                 410                                               1.8407210998053698E-14
0                                                 415                                               1.844999067107047E-14
0                                                 420                                               1.8496068606449037E-14
0                                                 425                                               1.854172064516321E-14
0                                                 430                                               1.8586963166004563E-14
0                                                 435                                               1.872050548122557E-14
0                                                 440                                               1.886607169120618E-14
0                                                 445                                               1.9014016530610317E-14
0                                                 450                                               1.9164419559210543E-14
0                                                 455                                               1.9325816361467632E-14
0                                                 460                                               1.9491786856701092E-14
0                                                 465                                               1.966058634208123E-14
0                                                 470                                               1.9832318389114772E-14
0                                                 475                                               2.0209428840531476E-14
0                                                 480                                               2.0692126302189222E-14
0                                                 485                                               2.120845634578171E-14
0                                                 490                                               2.1762078274830183E-14
0                                                 495                                               2.2357322592475003E-14
0                                                 500                                               2.3190259094463974E-14
0                                                 505                                               2.4163503311924448E-14
0                                                 510                                               2.5255807906997586E-14
0                                                 515                                               2.6487144772872587E-14
0                                                 520                                               2.788181324436131E-14
0                                                 525                                               2.8547293268234294E-14
0                                                 530                                               2.9077450682162765E-14
0                                                 535                                               2.969640780002046E-14
0                                                 540                                               3.045196003538935E-14
0                                                 545                                               3.1400335357943143E-14
0                                                 550                                               3.248339127119724E-14
0                                                 555                                               3.347442736532077E-14
0                                                 560                                               3.462970103809705E-14
0                                                 565                                               3.590316954863509E-14
0                                                 570                                               3.720569831600621E-14
0                                                 575                                               3.842139399813829E-14
0                                                 580                                               3.946283874171477E-14
0                                                 585                                               4.006897091508934E-14
0                                                 590                                               4.054786183306847E-14
0                                                 595                                               4.13887295901983E-14
0                                                 600                                               4.290325952893763E-14
0                                                 605                                               4.5403461878666064E-14
0                                                 610                                               4.9119613867935354E-14
0                                                 615                                               5.40869390543593E-14
0                                                 620                                               5.919543240328803E-14
0                                                 625                                               6.368914977908036E-14
0                                                 630                                               6.672237489903987E-14
0                                                 635                                               6.708890012864056E-14
0                                                 640                                               6.445564061658995E-14
0                                                 645                                               5.965821695924613E-14
0                                                 650                                               5.398423751110214E-14
0                                                 655                                               4.8407733225355753E-14
0                                                 660                                               4.341545374686669E-14
0                                                 665                                               3.9244707380899005E-14
0                                                 670                                               3.581513721193604E-14
0                                                 675                                               3.301619107842726E-14
0                                                 680                                               3.076198014350254E-14
0                                                 685                                               2.899618005694914E-14
0                                                 690                                               2.7694688500764884E-14
0                                                 695                                               2.6867422758184064E-14
0                                                 700                                               2.655218260826181E-14
0                                                 705                                               2.679113554831558E-14
0                                                 710                                               2.7557726423540847E-14
0                                                 715                                               2.888726852948439E-14
0                                                 720                                               3.085499814406019E-14
0                                                 725                                               3.35891918275611E-14
0                                                 730                                               3.723803140585453E-14
0                                                 735                                               4.181762233501885E-14
0                                                 740                                               4.67627827314677E-14
0                                                 745                                               5.025344970628256E-14
0                                                 750                                               4.995047455476711E-14
0                                                 755                                               4.602200594572269E-14
0                                                 760                                               4.104653565750169E-14
0                                                 765                                               3.6773549212671563E-14
0                                                 770                                               3.3547435351390846E-14
0                                                 775                                               3.119925002145424E-14
0                                                 780                                               2.9494643937145525E-14
0                                                 785                                               2.8252437953923483E-14
0                                                 790                                               2.7349259135541455E-14
0                                                 795                                               2.6703723450958342E-14
0                                                 800                                               2.6262840078424913E-14
15                                                300                                               1.7244558169955832E-14
15                                                305                                               1.7320237920337507E-14
15                                                310                                               1.740428345329296E-14
15                                                315                                               1.7463775466548897E-14
15                                                320                                               1.7514254982096884E-14
15                                                325                                               1.7692321363163042E-14
15                                                330                                               1.7882559489027963E-14
15                                                335                                               1.7994286082213587E-14
15                                                340                                               1.8068581315657944E-14
15                                                345                                               1.811748735780819E-14
15                                                350                                               1.8141447120479445E-14
15                                                355                                               1.816804438593782E-14
15                                                360                                               1.822190290840228E-14
15                                                365                                               1.827528982807374E-14
15                                                370                                               1.832513039969491E-14
15                                                375                                               1.8370471422840497E-14
15                                                380                                               1.8415793477578467E-14
15                                                385                                               1.8440836627326605E-14
15                                                390                                               1.8456251227490633E-14
15                                                395                                               1.8470635901781988E-14
15                                                400                                               1.8502880061710398E-14
15                                                405                                               1.8551569935521582E-14
15                                                410                                               1.8599383065059017E-14
15                                                415                                               1.864921977677637E-14
15                                                420                                               1.8703624257362206E-14
15                                                425                                               1.875703249252529E-14
15                                                430                                               1.88094972963568E-14
15                                                435                                               1.8931105009344835E-14
15                                                440                                               1.9061819393210603E-14
15                                                445                                               1.9194081328645476E-14
15                                                450                                               1.932800134057859E-14
15                                                455                                               1.9474965404360542E-14
15                                                460                                               1.962631552983429E-14
15                                                465                                               1.9779719421623623E-14
15                                                470                                               1.993531797060882E-14
15                                                475                                               2.0243060416448364E-14
15                                                480                                               2.0632775148450295E-14
15                                                485                                               2.105254436394429E-14
15                                                490                                               2.1506068412667894E-14
15                                                495                                               2.1997749835894082E-14
15                                                500                                               2.2646950355824818E-14
15                                                505                                               2.3401943198198605E-14
15                                                510                                               2.425264070332096E-14
15                                                515                                               2.5213058919052315E-14
15                                                520                                               2.6299700287058985E-14
15                                                525                                               2.6705282349966236E-14
15                                                530                                               2.6943078020719294E-14
15                                                535                                               2.7200952337252236E-14
15                                                540                                               2.7511237118547066E-14
15                                                545                                               2.791780146250526E-14
15                                                550                                               2.839728560984911E-14
15                                                555                                               2.8828928408885993E-14
15                                                560                                               2.939818984864388E-14
15                                                565                                               3.010827380823584E-14
15                                                570                                               3.094548929856281E-14
15                                                575                                               3.186977000379671E-14
15                                                580                                               3.282830071574226E-14
15                                                585                                               3.3604961821909715E-14
15                                                590                                               3.441025046449985E-14
15                                                595                                               3.5664502832372453E-14
15                                                600                                               3.764899759110068E-14
15                                                605                                               4.060662923683045E-14
15                                                610                                               4.468704425198168E-14
15                                                615                                               4.981947243795463E-14
15                                                620                                               5.468576477499806E-14
15                                                625                                               5.829945236796482E-14
15                                                630                                               5.96720947325249E-14
15                                                635                                               5.80320737360385E-14
15                                                640                                               5.3934765809542E-14
15                                                645                                               4.872375011131265E-14
15                                                650                                               4.3523614266813716E-14
15                                                655                                               3.889566011561228E-14
15                                                660                                               3.501220106419141E-14
15                                                665                                               3.195548495647519E-14
15                                                670                                               2.9523627702840736E-14
15                                                675                                               2.7619176795396277E-14
15                                                680                                               2.6180477108190406E-14
15                                                685                                               2.5179266395458852E-14
15                                                690                                               2.4609374072824065E-14
15                                                695                                               2.4462798034756813E-14
15                                                700                                               2.4720357339407925E-14
15                                                705                                               2.53763587099281E-14
15                                                710                                               2.640913574540556E-14
15                                                715                                               2.7937839462877717E-14
15                                                720                                               3.010717541220656E-14
15                                                725                                               3.307781965534871E-14
15                                                730                                               3.689164009893719E-14
15                                                735                                               4.1058075390188126E-14
15                                                740                                               4.391898263488789E-14
15                                                745                                               4.33894706839262E-14
15                                                750                                               3.981345175350969E-14
15                                                755                                               3.553685946110418E-14
15                                                760                                               3.2026893635455676E-14
15                                                765                                               2.946037841530956E-14
15                                                770                                               2.763338404058826E-14
