% Model:              Simulação_oficial_V2.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 10 2025, 16:30
% Table:              Table 7 - Volume Integration 2
% angle                                           lambda                                            Electric field norm (V*m^2)
0                                                 300                                               5.048705482416474E-15
0                                                 305                                               5.0598404196054415E-15
0                                                 310                                               5.0727212535762756E-15
0                                                 315                                               5.07984207348701E-15
0                                                 320                                               5.0848540164748195E-15
0                                                 325                                               5.119970334633358E-15
0                                                 330                                               5.158499430202687E-15
0                                                 335                                               5.1781828151318655E-15
0                                                 340                                               5.188779080670889E-15
0                                                 345                                               5.193346653741672E-15
0                                                 350                                               5.1919238593503015E-15
0                                                 355                                               5.191604333160097E-15
0                                                 360                                               5.200498626844272E-15
0                                                 365                                               5.209493078809691E-15
0                                                 370                                               5.218045965590231E-15
0                                                 375                                               5.225994600841259E-15
0                                                 380                                               5.234100890352971E-15
0                                                 385                                               5.236149862080841E-15
0                                                 390                                               5.235420350600791E-15
0                                                 395                                               5.2345402831121864E-15
0                                                 400                                               5.237946143081708E-15
0                                                 405                                               5.245318065581375E-15
0                                                 410                                               5.252586316104594E-15
0                                                 415                                               5.260173009028415E-15
0                                                 420                                               5.268432536612387E-15
0                                                 425                                               5.276552923146384E-15
0                                                 430                                               5.284545260751613E-15
0                                                 435                                               5.309658885387671E-15
0                                                 440                                               5.33716180974642E-15
0                                                 445                                               5.3651866906414265E-15
0                                                 450                                               5.39375192876674E-15
0                                                 455                                               5.424789939100397E-15
0                                                 460                                               5.4569408087234634E-15
0                                                 465                                               5.489830741809644E-15
0                                                 470                                               5.5234968261702646E-15
0                                                 475                                               5.597089581284266E-15
0                                                 480                                               5.690926617415244E-15
0                                                 485                                               5.7910622225407075E-15
0                                                 490                                               5.89824772273507E-15
0                                                 495                                               6.013379718192138E-15
0                                                 500                                               6.161471663831261E-15
0                                                 505                                               6.326851573835387E-15
0                                                 510                                               6.506522087368674E-15
0                                                 515                                               6.703340562768586E-15
0                                                 520                                               6.921420353792882E-15
0                                                 525                                               6.995015759159617E-15
0                                                 530                                               7.035001799102806E-15
0                                                 535                                               7.078119594234088E-15
0                                                 540                                               7.126274683373376E-15
0                                                 545                                               7.18108860578397E-15
